STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/1/17,,,1.8,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/2/17,,,0.07,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/3/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/4/17,,,0.02,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/5/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/6/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/7/17,,,0.25,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/10/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/11/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/17/17,,,0.05,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/18/17,,,0.03,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/20/17,,,0.32,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,3/21/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/2/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/3/17,,,0.02,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/4/17,,,0.13,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/7/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/8/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/9/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/10/17,,,0.02,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/11/17,,,0.19,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/12/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/13/17,,,0.18,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/14/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/15/17,,,0.2,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/16/17,,,0.62,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/17/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/18/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/19/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/20/17,,,0.09,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/21/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/22/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/23/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/24/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/25/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/26/17,,,0,0,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/27/17,,,0.49,,,,,,,,,,,,,,,
US1ILDP0098,"DOWNERS GROVE 0.9 S, IL US",41.784,-88.0168,229.5,4/28/17,,,0,0,,,,,,,,,,,,,,
